;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;Оповещение о закрытии трактов (каналов);Оповещение о закрытии трактов (каналов);;;;
;;;в результате проведения плановых и неплановых РНР;в результате проведения плановых и неплановых РНР;;;;
;;;"на СМП ОАО ""Ростелеком""";"на СМП ОАО ""Ростелеком""";;;;
;;;;;;;;
Клиент;Дата, время;Условие проведения работ;№ работы;Существующая нумерация трактов;Участок измерений;Содержание работ;Направление связи, ПЦТ, канала, межд.обозн.;Вид использования
1;2;3;4;5;6;7;8;9
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;"На уч-ке 12007-12003 переключение трафика оптического канала по распоряжению 13-2-30727 в рамках реализации проекта ""Расширение сети передачи данных IP/MPLS ОАО ""Ростелеком""  в 2011г. 4 этап 3 очередь 1п.к."", с переводом трафика на кольцевой резерв. Производитель работ: 12007, 12003, МРЦУСС.  Перенос с 18/08.";"Москва, Сущевский Вал, 26, МСС-12 - ГУАНЧЖОУ; 30n001         ; B [352537]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва, Сущевский Вал, 26, МСС-12 - ГУАНЧЖОУ; 30n001         ; B [352537]";ТФС,ИНО
"CHINA TELECOM;СГМД; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30n001         ; B [597476]";ТФС,ИНО
"CHINA TELECOM;СГМД; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30n001         ; B [597476]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Любань - ГУАНЧЖОУ; 30n001         ; B [751630]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Любань - ГУАНЧЖОУ; 30n001         ; B [751630]";ТФС,ИНО
"CHINA TELECOM;ТЕА; ГРУЗИЯ; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"ШЕНЬДЖЕНЬ - ТБИЛИСИ; NP2             [870830]";МН,ТЕА
"CHINA TELECOM;ТЕА; ГРУЗИЯ; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"ШЕНЬДЖЕНЬ - ТБИЛИСИ; NP2             [870830]";МН,ТЕА
"CHINA TELECOM;СГМД; ГОНКОНГ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ГОНКОНГ; NP1             [1028461]";МЗАРУБКОМП
"CHINA TELECOM;СГМД; ГОНКОНГ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ГОНКОНГ; NP1             [1028461]";МЗАРУБКОМП
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30N4           ; B [1285334]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30N4           ; B [1285334]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва - ГУАНЧЖОУ; 30N4           ; B [1285351]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва - ГУАНЧЖОУ; 30N4           ; B [1285351]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6 КР;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва - ГУАНЧЖОУ; 30N5           ; B [1285352]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:30 до 06:00;4-6;08/1400927;К841-64-42;12007 - 12003;- ' ' -;"Москва - ГУАНЧЖОУ; 30N5           ; B [1285352]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;"На уч-ке 12001-12008 переключение трафика оптического канала по распоряжению 13-2-30707 в рамках реализации проекта ""Расширение сети передачи данных IP/MPLS ОАО ""Ростелеком""  в 2011г. 4 этап 3 очередь 1п.к."", с переводом трафика на кольцевой резерв. Производитель работ: 12001, 12008, МРЦУСС.  Перенос с 21/08.";"Москва, Сущевский Вал, 26, МСС-12 - ГУАНЧЖОУ; 30n001         ; B [352537]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва, Сущевский Вал, 26, МСС-12 - ГУАНЧЖОУ; 30n001         ; B [352537]";ТФС,ИНО
"CHINA TELECOM;СГМД; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30n001         ; B [597476]";ТФС,ИНО
"CHINA TELECOM;СГМД; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30n001         ; B [597476]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Любань - ГУАНЧЖОУ; 30n001         ; B [751630]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Любань - ГУАНЧЖОУ; 30n001         ; B [751630]";ТФС,ИНО
"CHINA TELECOM;ТЕА; ГРУЗИЯ; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"ШЕНЬДЖЕНЬ - ТБИЛИСИ; NP2             [870830]";МН,ТЕА
